Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,has_email,has_phone
frank,40,70000,Other,Marketing,Director,2020-01-15,B,email@example.com,555-555-5555,True,True
ivy,40,50000,Other,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890,True,True
alice,30,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890,True,True
jack,50,70000,Male,Finance,Analyst,2020-02-20,A,email@example.com,098-765-4321,True,True
charlie,35,50000,Other,Sales,Clerk,2019-03-25,C,name@company.org,,True,False
grace,50,60000,Male,IT,Clerk,2020-02-20,C,,,False,False
david,25,65000,Male,HR,Assistant,2019-12-01,C,,555-555-5555,False,True
ivy,25,55000,Female,Finance,Manager,2019-12-01,B,name@company.org,098-765-4321,True,True
charlie,50,70000,Female,Finance,Clerk,2019-12-01,B,,,False,False
eve,35,60000,Female,Sales,Director,2020-01-15,A,email@example.com,123-456-7890,True,True
charlie,40,60000,Female,IT,Director,2018-04-05,D,email@example.com,555-555-5555,True,True
grace,25,65000,Male,IT,Assistant,2020-02-20,A,name@company.org,,True,False
eve,40,60000,Other,Sales,Manager,2020-02-20,C,name@company.org,123-456-7890,True,True
ivy,25,60000,Male,IT,Manager,2020-02-20,A,,098-765-4321,False,True
grace,30,60000,Male,Marketing,Director,2020-02-20,D,,,False,False
bob,35,55000,Male,HR,Analyst,2019-12-01,B,user@domain.com,123-456-7890,True,True
david,25,55000,Female,Finance,Assistant,2020-02-20,A,,,False,False
ivy,40,70000,Female,HR,Assistant,2018-04-05,C,email@example.com,,True,False
bob,30,50000,Female,Finance,Director,2019-12-01,C,name@company.org,098-765-4321,True,True
jack,25,60000,Other,Marketing,Director,2020-02-20,B,,123-456-7890,False,True
ivy,35,70000,Male,IT,Analyst,2020-01-15,A,,555-555-5555,False,True
jack,35,60000,Other,Sales,Analyst,2019-03-25,D,,123-456-7890,False,True
eve,25,50000,Female,Marketing,Manager,2019-03-25,B,,,False,False
bob,30,60000,Other,HR,Assistant,2019-03-25,A,email@example.com,098-765-4321,True,True
david,35,60000,Male,Sales,Assistant,2019-12-01,F,user@domain.com,098-765-4321,True,True
grace,50,50000,Male,IT,Director,2020-02-20,C,,555-555-5555,False,True
hannah,30,70000,Female,Marketing,Manager,2019-12-01,D,,098-765-4321,False,True
charlie,30,50000,Female,Sales,Assistant,2018-04-05,D,user@domain.com,098-765-4321,True,True
alice,35,65000,Other,Marketing,Manager,2020-01-15,D,,098-765-4321,False,True
david,30,55000,Female,Marketing,Manager,2020-01-15,C,,098-765-4321,False,True
bob,35,70000,Female,IT,Director,2019-03-25,A,,098-765-4321,False,True
hannah,25,60000,Male,Finance,Manager,2019-03-25,B,,,False,False
david,35,65000,Female,Sales,Analyst,2019-03-25,A,user@domain.com,123-456-7890,True,True
bob,35,70000,Female,IT,Analyst,2020-02-20,B,email@example.com,,True,False
frank,35,50000,Male,Marketing,Clerk,2018-04-05,D,,098-765-4321,False,True
frank,35,50000,Male,IT,Director,2018-04-05,A,email@example.com,,True,False
jack,35,50000,Other,Finance,Clerk,2018-04-05,D,user@domain.com,,True,False
david,50,50000,Female,Sales,Analyst,2018-04-05,F,user@domain.com,,True,False
frank,25,60000,Male,Finance,Clerk,2019-03-25,D,,098-765-4321,False,True
bob,35,65000,Other,HR,Director,2020-01-15,D,,,False,False
jack,50,60000,Other,Sales,Director,2019-03-25,B,name@company.org,098-765-4321,True,True
bob,40,55000,Female,Finance,Manager,2018-04-05,F,user@domain.com,555-555-5555,True,True
jack,25,60000,Female,Marketing,Assistant,2019-03-25,D,,555-555-5555,False,True
david,25,60000,Other,Sales,Manager,2018-04-05,D,email@example.com,555-555-5555,True,True
hannah,40,60000,Male,Sales,Director,2019-12-01,F,,,False,False
grace,35,60000,Other,IT,Analyst,2020-01-15,F,email@example.com,555-555-5555,True,True
ivy,50,55000,Female,Marketing,Analyst,2019-12-01,A,user@domain.com,,True,False
hannah,30,55000,Male,HR,Manager,2020-02-20,B,user@domain.com,,True,False
eve,35,60000,Male,Finance,Director,2019-03-25,F,email@example.com,,True,False
bob,30,50000,Other,IT,Analyst,2020-02-20,F,user@domain.com,098-765-4321,True,True
eve,40,60000,Female,Finance,Director,2019-03-25,C,,123-456-7890,False,True
hannah,25,70000,Other,HR,Analyst,2019-12-01,F,user@domain.com,098-765-4321,True,True
jack,25,55000,Other,HR,Director,2018-04-05,B,,098-765-4321,False,True
ivy,35,55000,Other,Sales,Clerk,2018-04-05,D,,098-765-4321,False,True
ivy,25,60000,Male,HR,Director,2019-03-25,D,name@company.org,098-765-4321,True,True
alice,25,65000,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890,True,True
ivy,35,70000,Female,Marketing,Manager,2019-12-01,D,user@domain.com,555-555-5555,True,True
grace,50,70000,Female,Marketing,Clerk,2018-04-05,C,,098-765-4321,False,True
ivy,50,55000,Other,Sales,Assistant,2019-12-01,F,,,False,False
hannah,35,50000,Other,Finance,Manager,2020-02-20,D,email@example.com,,True,False
alice,40,65000,Other,Finance,Assistant,2019-12-01,A,email@example.com,,True,False
hannah,25,70000,Female,HR,Analyst,2020-01-15,D,email@example.com,,True,False
hannah,25,55000,Male,Finance,Assistant,2020-01-15,F,,098-765-4321,False,True
charlie,40,70000,Male,IT,Director,2020-01-15,D,email@example.com,123-456-7890,True,True
alice,50,65000,Other,HR,Assistant,2019-03-25,C,email@example.com,555-555-5555,True,True
hannah,35,65000,Other,IT,Manager,2019-03-25,B,name@company.org,,True,False
charlie,35,60000,Other,Sales,Manager,2019-03-25,B,email@example.com,555-555-5555,True,True
charlie,35,60000,Other,Marketing,Assistant,2019-12-01,F,user@domain.com,123-456-7890,True,True
alice,50,60000,Female,Sales,Manager,2019-03-25,B,,,False,False
eve,50,55000,Male,Marketing,Manager,2020-02-20,B,,555-555-5555,False,True
jack,40,65000,Other,Sales,Assistant,2020-01-15,A,name@company.org,123-456-7890,True,True
grace,25,60000,Female,Finance,Clerk,2019-12-01,F,,555-555-5555,False,True
jack,40,60000,Other,IT,Clerk,2020-01-15,F,,098-765-4321,False,True
ivy,40,70000,Other,Marketing,Analyst,2019-03-25,B,user@domain.com,123-456-7890,True,True
grace,50,70000,Male,HR,Manager,2019-12-01,B,email@example.com,555-555-5555,True,True
ivy,35,60000,Other,IT,Assistant,2018-04-05,B,user@domain.com,098-765-4321,True,True
hannah,30,70000,Male,HR,Manager,2020-02-20,C,email@example.com,098-765-4321,True,True
bob,25,65000,Male,IT,Director,2019-03-25,D,email@example.com,123-456-7890,True,True
alice,50,50000,Male,IT,Manager,2019-03-25,C,,,False,False
grace,35,65000,Female,Sales,Manager,2020-02-20,F,email@example.com,,True,False
grace,30,60000,Female,Marketing,Clerk,2020-02-20,A,name@company.org,123-456-7890,True,True
hannah,30,60000,Male,Marketing,Assistant,2018-04-05,D,name@company.org,098-765-4321,True,True
eve,50,65000,Other,IT,Manager,2019-03-25,A,name@company.org,098-765-4321,True,True
charlie,35,70000,Male,Finance,Clerk,2019-03-25,F,,123-456-7890,False,True
hannah,25,70000,Other,Finance,Analyst,2020-01-15,F,user@domain.com,,True,False
frank,30,60000,Male,HR,Clerk,2019-12-01,A,,,False,False
charlie,50,60000,Other,HR,Clerk,2019-12-01,A,email@example.com,555-555-5555,True,True
alice,50,55000,Female,Sales,Clerk,2020-01-15,A,,123-456-7890,False,True
charlie,35,60000,Other,IT,Manager,2019-12-01,F,user@domain.com,,True,False
eve,35,70000,Male,HR,Manager,2020-02-20,B,user@domain.com,,True,False
charlie,25,65000,Female,HR,Analyst,2019-12-01,A,,098-765-4321,False,True
alice,40,70000,Other,IT,Director,2019-12-01,D,name@company.org,555-555-5555,True,True
eve,35,65000,Other,Sales,Director,2020-01-15,F,name@company.org,123-456-7890,True,True
jack,30,60000,Other,HR,Director,2018-04-05,C,user@domain.com,098-765-4321,True,True
grace,30,60000,Other,Sales,Analyst,2019-12-01,C,,098-765-4321,False,True
grace,35,70000,Other,Marketing,Director,2019-12-01,D,,,False,False
ivy,50,65000,Female,Sales,Director,2018-04-05,B,email@example.com,,True,False
jack,30,60000,Female,Finance,Clerk,2020-01-15,A,name@company.org,123-456-7890,True,True
jack,35,55000,Female,Finance,Manager,2018-04-05,F,user@domain.com,123-456-7890,True,True
charlie,25,65000,Female,Sales,Manager,2020-01-15,A,,123-456-7890,False,True
grace,35,60000,Male,Finance,Clerk,2020-02-20,F,name@company.org,098-765-4321,True,True
alice,30,55000,Female,Marketing,Clerk,2020-01-15,C,email@example.com,,True,False
david,40,55000,Other,IT,Clerk,2020-02-20,A,,555-555-5555,False,True
david,25,50000,Other,Finance,Manager,2020-02-20,D,user@domain.com,098-765-4321,True,True
eve,25,70000,Female,Finance,Director,2020-01-15,B,name@company.org,555-555-5555,True,True
grace,35,65000,Other,Sales,Clerk,2019-03-25,D,,,False,False
grace,35,55000,Female,Marketing,Analyst,2020-01-15,B,email@example.com,,True,False
david,40,50000,Other,IT,Clerk,2019-12-01,A,email@example.com,123-456-7890,True,True
grace,50,60000,Male,Sales,Assistant,2019-12-01,A,name@company.org,555-555-5555,True,True
charlie,25,60000,Male,Sales,Clerk,2019-03-25,B,,098-765-4321,False,True
frank,40,65000,Female,Marketing,Manager,2020-02-20,C,email@example.com,555-555-5555,True,True
bob,35,55000,Female,IT,Clerk,2019-03-25,F,user@domain.com,,True,False
jack,35,70000,Female,Marketing,Assistant,2019-12-01,D,email@example.com,123-456-7890,True,True
ivy,25,50000,Other,IT,Analyst,2019-03-25,D,,555-555-5555,False,True
eve,35,55000,Female,Marketing,Director,2020-01-15,D,,,False,False
frank,30,70000,Male,Sales,Clerk,2019-03-25,A,,098-765-4321,False,True
david,35,55000,Other,Sales,Assistant,2020-02-20,D,name@company.org,,True,False
jack,50,65000,Female,HR,Assistant,2020-01-15,F,,098-765-4321,False,True
grace,50,65000,Other,Finance,Analyst,2018-04-05,F,email@example.com,123-456-7890,True,True
ivy,35,65000,Other,Marketing,Manager,2019-12-01,B,email@example.com,098-765-4321,True,True
grace,35,60000,Female,HR,Clerk,2019-12-01,A,,098-765-4321,False,True
alice,35,60000,Other,Finance,Assistant,2019-03-25,F,,098-765-4321,False,True
alice,40,50000,Male,Marketing,Analyst,2020-01-15,C,user@domain.com,098-765-4321,True,True
ivy,50,65000,Male,IT,Director,2018-04-05,A,,123-456-7890,False,True
ivy,40,70000,Other,Finance,Assistant,2020-01-15,A,user@domain.com,,True,False
david,50,55000,Female,Sales,Analyst,2019-12-01,F,email@example.com,555-555-5555,True,True
ivy,30,60000,Other,HR,Manager,2020-01-15,C,user@domain.com,,True,False
charlie,30,70000,Male,Finance,Manager,2018-04-05,B,user@domain.com,555-555-5555,True,True
grace,25,60000,Other,Finance,Assistant,2019-03-25,F,name@company.org,555-555-5555,True,True
frank,40,60000,Other,Sales,Assistant,2020-02-20,C,,,False,False
hannah,35,70000,Male,Marketing,Clerk,2020-01-15,A,user@domain.com,123-456-7890,True,True
ivy,40,60000,Other,IT,Analyst,2020-02-20,C,email@example.com,,True,False
eve,35,65000,Other,Sales,Assistant,2019-12-01,A,,123-456-7890,False,True
alice,35,50000,Female,IT,Clerk,2019-03-25,F,user@domain.com,555-555-5555,True,True
charlie,40,55000,Female,Marketing,Clerk,2019-03-25,F,,123-456-7890,False,True
jack,35,50000,Male,Finance,Assistant,2020-01-15,D,name@company.org,,True,False
hannah,30,55000,Male,IT,Manager,2019-03-25,D,email@example.com,,True,False
frank,30,55000,Male,HR,Analyst,2020-01-15,D,name@company.org,,True,False
hannah,25,50000,Female,HR,Analyst,2020-01-15,F,,555-555-5555,False,True
ivy,40,70000,Male,Sales,Manager,2020-02-20,B,user@domain.com,,True,False
david,35,55000,Male,Marketing,Assistant,2019-03-25,F,user@domain.com,555-555-5555,True,True
alice,35,50000,Male,Sales,Analyst,2020-01-15,C,,,False,False
alice,30,55000,Female,Sales,Assistant,2020-02-20,F,user@domain.com,555-555-5555,True,True
jack,30,60000,Other,Sales,Assistant,2018-04-05,F,email@example.com,,True,False
david,35,70000,Male,HR,Clerk,2020-02-20,A,,,False,False
grace,35,65000,Other,HR,Manager,2020-02-20,A,name@company.org,555-555-5555,True,True
bob,35,55000,Male,Sales,Assistant,2020-01-15,A,,,False,False
charlie,40,60000,Other,HR,Director,2019-12-01,F,user@domain.com,,True,False
alice,40,65000,Female,Marketing,Manager,2019-12-01,B,name@company.org,555-555-5555,True,True
eve,50,65000,Female,Sales,Analyst,2019-12-01,C,,,False,False
alice,50,55000,Male,HR,Clerk,2020-02-20,C,,,False,False
hannah,25,50000,Other,IT,Analyst,2020-01-15,B,name@company.org,,True,False
alice,30,55000,Female,Sales,Analyst,2019-03-25,B,name@company.org,,True,False
alice,40,60000,Male,Sales,Manager,2020-02-20,C,name@company.org,,True,False
bob,35,65000,Male,Marketing,Analyst,2020-02-20,D,email@example.com,555-555-5555,True,True
bob,35,55000,Female,Finance,Assistant,2020-01-15,A,,,False,False
frank,35,50000,Female,Finance,Analyst,2018-04-05,A,name@company.org,,True,False
grace,30,55000,Male,Marketing,Clerk,2020-02-20,C,,123-456-7890,False,True
eve,50,70000,Other,Marketing,Clerk,2018-04-05,B,name@company.org,,True,False
alice,35,50000,Other,Marketing,Director,2018-04-05,D,,,False,False
alice,25,60000,Other,Finance,Clerk,2019-12-01,C,,123-456-7890,False,True
charlie,30,65000,Male,Marketing,Analyst,2020-01-15,A,,,False,False
bob,50,55000,Female,HR,Clerk,2018-04-05,F,user@domain.com,098-765-4321,True,True
eve,35,50000,Male,Sales,Manager,2020-01-15,B,name@company.org,098-765-4321,True,True
jack,50,70000,Female,Sales,Clerk,2019-12-01,F,user@domain.com,,True,False
frank,25,50000,Other,IT,Assistant,2020-01-15,C,,,False,False
grace,30,60000,Other,IT,Manager,2020-02-20,A,user@domain.com,098-765-4321,True,True
david,35,70000,Female,Sales,Director,2018-04-05,D,,555-555-5555,False,True
grace,25,60000,Female,HR,Assistant,2020-01-15,F,,555-555-5555,False,True
hannah,50,65000,Male,Finance,Analyst,2019-03-25,D,,123-456-7890,False,True
alice,25,60000,Other,Finance,Analyst,2020-01-15,A,user@domain.com,,True,False
frank,30,55000,Male,HR,Analyst,2018-04-05,F,name@company.org,,True,False
hannah,40,50000,Male,Finance,Assistant,2019-12-01,D,user@domain.com,098-765-4321,True,True
eve,25,60000,Male,Marketing,Assistant,2019-12-01,D,name@company.org,,True,False
david,25,70000,Other,Sales,Assistant,2018-04-05,F,name@company.org,,True,False
bob,50,70000,Male,Sales,Manager,2020-02-20,A,,098-765-4321,False,True
frank,50,50000,Male,HR,Manager,2020-02-20,D,user@domain.com,098-765-4321,True,True
frank,35,60000,Male,Finance,Analyst,2019-12-01,C,name@company.org,,True,False
alice,50,50000,Male,IT,Clerk,2019-12-01,F,,098-765-4321,False,True
ivy,35,55000,Male,IT,Analyst,2018-04-05,B,name@company.org,123-456-7890,True,True
frank,30,60000,Male,Finance,Director,2020-02-20,B,,123-456-7890,False,True
charlie,30,70000,Other,IT,Manager,2019-12-01,A,user@domain.com,,True,False
david,40,55000,Male,HR,Assistant,2020-02-20,C,user@domain.com,,True,False
david,40,60000,Female,HR,Manager,2019-12-01,D,user@domain.com,123-456-7890,True,True
charlie,30,55000,Male,Finance,Assistant,2020-01-15,B,name@company.org,123-456-7890,True,True
jack,40,60000,Male,IT,Director,2019-03-25,A,email@example.com,,True,False
charlie,35,70000,Other,HR,Director,2020-01-15,C,name@company.org,555-555-5555,True,True
charlie,50,50000,Other,HR,Manager,2019-12-01,C,name@company.org,098-765-4321,True,True
david,30,50000,Female,Marketing,Assistant,2019-03-25,A,,123-456-7890,False,True
grace,40,60000,Female,Marketing,Director,2019-03-25,A,,555-555-5555,False,True
david,30,65000,Other,HR,Analyst,2019-12-01,D,name@company.org,,True,False
ivy,35,60000,Other,Finance,Analyst,2019-12-01,A,,555-555-5555,False,True
alice,25,60000,Male,Sales,Assistant,2020-02-20,D,,,False,False
hannah,50,65000,Other,Sales,Manager,2019-12-01,D,name@company.org,,True,False
grace,30,55000,Female,HR,Director,2018-04-05,F,email@example.com,,True,False
bob,25,60000,Male,HR,Manager,2019-12-01,C,,555-555-5555,False,True
hannah,40,55000,Female,HR,Analyst,2018-04-05,C,user@domain.com,,True,False
alice,25,70000,Male,Finance,Director,2019-12-01,C,name@company.org,123-456-7890,True,True
ivy,50,60000,Other,Marketing,Manager,2020-02-20,F,name@company.org,555-555-5555,True,True
ivy,30,65000,Female,HR,Clerk,2018-04-05,D,,123-456-7890,False,True
bob,35,70000,Male,HR,Assistant,2020-01-15,D,,555-555-5555,False,True
grace,40,50000,Male,IT,Assistant,2018-04-05,A,,123-456-7890,False,True
jack,30,65000,Other,Finance,Clerk,2020-02-20,F,,555-555-5555,False,True
charlie,50,60000,Other,HR,Analyst,2018-04-05,A,user@domain.com,,True,False
grace,40,50000,Other,IT,Director,2019-12-01,F,,098-765-4321,False,True
jack,35,50000,Female,Sales,Assistant,2019-12-01,A,,,False,False
ivy,25,60000,Male,HR,Clerk,2020-02-20,B,,123-456-7890,False,True
david,50,60000,Other,HR,Clerk,2019-03-25,C,,,False,False
alice,35,50000,Female,IT,Analyst,2019-12-01,C,email@example.com,,True,False
bob,30,65000,Female,Finance,Analyst,2020-01-15,D,email@example.com,098-765-4321,True,True
alice,35,70000,Female,HR,Manager,2020-02-20,B,name@company.org,123-456-7890,True,True
eve,40,50000,Other,Sales,Assistant,2018-04-05,C,name@company.org,,True,False
eve,25,65000,Other,HR,Manager,2018-04-05,D,,555-555-5555,False,True
grace,40,55000,Male,Sales,Clerk,2020-01-15,B,,,False,False
ivy,30,65000,Male,Marketing,Director,2019-12-01,C,user@domain.com,123-456-7890,True,True
ivy,40,70000,Other,Marketing,Director,2020-02-20,A,user@domain.com,,True,False
charlie,25,65000,Female,Sales,Analyst,2020-01-15,F,email@example.com,123-456-7890,True,True
charlie,30,60000,Female,Finance,Director,2019-12-01,B,name@company.org,555-555-5555,True,True
charlie,40,70000,Female,HR,Director,2020-02-20,D,email@example.com,098-765-4321,True,True
david,35,60000,Male,HR,Director,2018-04-05,B,email@example.com,,True,False
hannah,50,55000,Female,Marketing,Clerk,2020-02-20,D,name@company.org,123-456-7890,True,True
frank,30,60000,Male,Sales,Director,2019-03-25,B,user@domain.com,123-456-7890,True,True
hannah,50,60000,Male,HR,Director,2020-02-20,D,name@company.org,123-456-7890,True,True
alice,30,65000,Female,HR,Director,2019-03-25,C,,098-765-4321,False,True
hannah,35,70000,Female,Finance,Manager,2020-02-20,A,,123-456-7890,False,True
david,50,55000,Other,IT,Clerk,2019-03-25,C,,,False,False
alice,35,60000,Other,Marketing,Analyst,2018-04-05,A,,,False,False
hannah,25,60000,Female,Marketing,Manager,2019-12-01,C,user@domain.com,123-456-7890,True,True
david,35,60000,Male,IT,Assistant,2019-03-25,C,user@domain.com,,True,False
frank,40,55000,Male,HR,Clerk,2019-03-25,B,,,False,False
hannah,35,65000,Male,Finance,Clerk,2018-04-05,F,email@example.com,,True,False
david,35,55000,Male,Finance,Assistant,2019-03-25,D,,123-456-7890,False,True
charlie,30,60000,Male,Marketing,Assistant,2020-01-15,D,,555-555-5555,False,True
ivy,40,50000,Other,Finance,Assistant,2018-04-05,D,email@example.com,,True,False
charlie,40,60000,Female,IT,Analyst,2020-01-15,A,name@company.org,098-765-4321,True,True
ivy,35,55000,Other,HR,Director,2018-04-05,D,name@company.org,123-456-7890,True,True
bob,35,60000,Male,IT,Clerk,2019-03-25,D,user@domain.com,098-765-4321,True,True
bob,35,65000,Male,Sales,Director,2020-01-15,B,,555-555-5555,False,True
bob,25,60000,Male,Marketing,Director,2019-03-25,C,user@domain.com,098-765-4321,True,True
frank,35,65000,Male,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890,True,True
charlie,35,55000,Female,Sales,Analyst,2019-03-25,F,email@example.com,123-456-7890,True,True
ivy,50,65000,Male,Finance,Manager,2020-01-15,D,user@domain.com,555-555-5555,True,True
david,30,70000,Female,HR,Analyst,2020-01-15,A,,123-456-7890,False,True
alice,50,70000,Male,HR,Director,2019-03-25,A,,555-555-5555,False,True
david,50,70000,Female,HR,Analyst,2020-02-20,A,email@example.com,555-555-5555,True,True
alice,40,50000,Other,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890,True,True
eve,25,55000,Male,Sales,Manager,2018-04-05,B,,,False,False
david,30,60000,Female,HR,Assistant,2019-03-25,F,,555-555-5555,False,True
hannah,35,60000,Other,Sales,Manager,2020-02-20,D,,123-456-7890,False,True
hannah,35,50000,Male,Finance,Director,2020-01-15,B,user@domain.com,,True,False
grace,35,65000,Male,Sales,Manager,2019-12-01,B,name@company.org,555-555-5555,True,True
charlie,35,50000,Male,Finance,Manager,2019-12-01,D,user@domain.com,,True,False
alice,35,65000,Female,Finance,Manager,2019-03-25,D,name@company.org,,True,False
alice,35,65000,Female,Marketing,Analyst,2020-02-20,B,,,False,False
charlie,25,60000,Other,Finance,Analyst,2020-02-20,B,,,False,False
frank,50,60000,Female,Finance,Director,2018-04-05,B,user@domain.com,555-555-5555,True,True
grace,35,70000,Female,IT,Manager,2020-01-15,D,,123-456-7890,False,True
frank,40,65000,Male,HR,Clerk,2020-02-20,B,name@company.org,098-765-4321,True,True
frank,35,60000,Male,Marketing,Director,2019-12-01,A,user@domain.com,123-456-7890,True,True
frank,30,60000,Male,Marketing,Manager,2020-01-15,D,user@domain.com,098-765-4321,True,True
charlie,25,70000,Male,Marketing,Manager,2020-01-15,A,,098-765-4321,False,True
frank,30,65000,Male,IT,Analyst,2019-03-25,C,user@domain.com,555-555-5555,True,True
hannah,30,65000,Male,Finance,Director,2020-02-20,D,,,False,False
bob,40,50000,Male,HR,Manager,2019-03-25,C,,123-456-7890,False,True
eve,25,50000,Other,Sales,Manager,2020-02-20,B,,,False,False
alice,25,60000,Other,Finance,Director,2018-04-05,B,name@company.org,,True,False
alice,25,70000,Other,IT,Clerk,2019-03-25,F,,555-555-5555,False,True
eve,25,65000,Other,Finance,Director,2019-03-25,B,,555-555-5555,False,True
charlie,25,60000,Male,Finance,Director,2019-12-01,C,email@example.com,,True,False
david,40,60000,Other,IT,Clerk,2019-03-25,B,email@example.com,123-456-7890,True,True
charlie,35,55000,Male,Marketing,Director,2020-02-20,D,user@domain.com,,True,False
alice,30,50000,Other,Marketing,Manager,2019-12-01,B,user@domain.com,123-456-7890,True,True
alice,25,70000,Female,HR,Director,2019-03-25,F,email@example.com,098-765-4321,True,True
eve,35,65000,Other,HR,Clerk,2019-03-25,B,,555-555-5555,False,True
frank,35,60000,Other,Marketing,Assistant,2018-04-05,C,user@domain.com,123-456-7890,True,True
charlie,30,65000,Male,Sales,Director,2019-03-25,C,,,False,False
ivy,40,55000,Other,Finance,Analyst,2020-01-15,B,,,False,False
eve,35,70000,Female,Sales,Manager,2019-12-01,C,,555-555-5555,False,True
hannah,35,60000,Male,Finance,Manager,2020-01-15,C,user@domain.com,,True,False
alice,35,65000,Male,Marketing,Analyst,2019-12-01,F,,,False,False
eve,50,50000,Other,HR,Analyst,2018-04-05,D,user@domain.com,123-456-7890,True,True
charlie,50,55000,Male,HR,Director,2019-03-25,F,user@domain.com,,True,False
alice,30,70000,Male,Sales,Analyst,2019-03-25,A,,555-555-5555,False,True
david,35,55000,Male,HR,Assistant,2019-03-25,F,email@example.com,123-456-7890,True,True
eve,35,50000,Male,Marketing,Clerk,2019-12-01,B,,098-765-4321,False,True
grace,40,70000,Male,Sales,Analyst,2019-03-25,D,,,False,False
alice,35,55000,Male,Finance,Analyst,2020-01-15,B,name@company.org,,True,False
charlie,35,60000,Female,HR,Assistant,2019-03-25,A,,123-456-7890,False,True
bob,35,50000,Other,IT,Manager,2018-04-05,D,user@domain.com,,True,False
ivy,25,50000,Female,HR,Manager,2020-01-15,C,user@domain.com,,True,False
jack,40,50000,Male,Finance,Director,2019-03-25,F,,555-555-5555,False,True
frank,25,60000,Male,Sales,Assistant,2019-03-25,B,name@company.org,,True,False
jack,30,60000,Other,Finance,Clerk,2020-02-20,A,,098-765-4321,False,True
charlie,25,65000,Female,IT,Clerk,2019-12-01,C,name@company.org,,True,False
hannah,25,60000,Other,Marketing,Assistant,2020-01-15,F,name@company.org,,True,False
hannah,35,55000,Female,HR,Clerk,2020-02-20,C,,,False,False
bob,50,65000,Male,Sales,Manager,2018-04-05,F,user@domain.com,123-456-7890,True,True
frank,35,55000,Other,Marketing,Clerk,2019-12-01,D,user@domain.com,,True,False
grace,40,60000,Other,Finance,Clerk,2020-01-15,C,name@company.org,,True,False
bob,25,60000,Male,Sales,Assistant,2019-03-25,C,user@domain.com,123-456-7890,True,True
jack,40,60000,Other,Marketing,Assistant,2020-01-15,C,email@example.com,555-555-5555,True,True
bob,50,60000,Female,Sales,Clerk,2019-03-25,D,name@company.org,123-456-7890,True,True
jack,50,60000,Female,IT,Analyst,2019-12-01,A,user@domain.com,098-765-4321,True,True
alice,25,65000,Female,IT,Assistant,2019-03-25,F,email@example.com,123-456-7890,True,True
hannah,30,70000,Female,HR,Director,2018-04-05,C,,555-555-5555,False,True
alice,25,65000,Male,HR,Director,2019-03-25,D,user@domain.com,,True,False
ivy,35,55000,Other,IT,Manager,2018-04-05,A,email@example.com,123-456-7890,True,True
frank,35,65000,Female,Sales,Clerk,2019-12-01,F,,123-456-7890,False,True
grace,30,50000,Male,IT,Analyst,2019-12-01,D,,123-456-7890,False,True
jack,25,55000,Other,HR,Manager,2020-01-15,F,email@example.com,123-456-7890,True,True
grace,40,60000,Other,IT,Clerk,2018-04-05,C,name@company.org,555-555-5555,True,True
jack,30,55000,Male,IT,Assistant,2018-04-05,A,name@company.org,,True,False
charlie,30,70000,Male,Sales,Director,2020-02-20,D,user@domain.com,,True,False
